City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kushmurun,52.4503,64.6311,66.38,66,10,8.1,KZ,1660163044
1,goma,-1.6792,29.2228,65.34,63,62,2.55,CD,1660163046
2,bluff,-46.6,168.3333,41.68,69,98,8.1,NZ,1660163048
3,ponta do sol,32.6667,-17.1,73.71,77,50,5.91,PT,1660162452
4,busselton,-33.65,115.3333,51.62,80,40,4.56,AU,1660163053
5,teya,60.3778,92.6267,55.6,98,13,2.82,RU,1660162878
6,tasiilaq,65.6145,-37.6368,42.96,78,100,6.22,GL,1660163057
7,ushuaia,-54.8,-68.3,44.22,75,20,3.44,AR,1660163059
8,hobart,-42.8794,147.3294,40.05,87,11,3.0,AU,1660162808
9,bathsheba,13.2167,-59.5167,81.21,83,75,17.27,BB,1660162590
10,punta arenas,-53.15,-70.9167,44.71,76,0,6.91,CL,1660163068
11,saint-philippe,-21.3585,55.7679,65.79,77,55,15.95,RE,1660163070
12,albany,42.6001,-73.9662,80.56,61,17,5.41,US,1660162934
13,khatanga,71.9667,102.5,44.37,74,100,12.37,RU,1660163075
14,provideniya,64.3833,-173.3,50.36,100,75,2.24,RU,1660163077
15,mudgee,-32.5943,149.5871,46.78,96,100,4.52,AU,1660163079
16,rikitea,-23.1203,-134.9692,73.27,75,83,21.23,PF,1660163081
17,faanui,-16.4833,-151.75,76.95,72,0,4.05,PF,1660163084
18,kapaa,22.0752,-159.319,82.11,75,0,17.27,US,1660163086
19,haines junction,60.7522,-137.5108,46.17,94,100,4.29,CA,1660163088
20,upernavik,72.7868,-56.1549,41.04,84,99,9.4,GL,1660163093
21,megali panayia,40.45,23.6833,81.91,37,100,5.86,GR,1660163095
22,lebu,-37.6167,-73.65,51.66,74,1,4.23,CL,1660163097
23,port alfred,-33.5906,26.891,60.1,85,89,6.22,ZA,1660163100
24,ahipara,-35.1667,173.1667,49.93,85,89,7.54,NZ,1660163102
25,qaanaaq,77.484,-69.3632,38.53,63,83,1.99,GL,1660163104
26,geraldton,-28.7667,114.6,41.41,93,0,8.05,AU,1660163107
27,mahebourg,-20.4081,57.7,70.25,72,40,14.97,MU,1660162588
28,iquique,-20.2208,-70.1431,60.84,69,37,2.66,CL,1660163113
29,lisala,2.15,21.5167,74.1,80,88,2.59,CD,1660163115
30,yaritagua,10.08,-69.1261,74.46,78,99,9.46,VE,1660163118
31,bredasdorp,-34.5322,20.0403,52.95,93,100,3.29,ZA,1660163120
32,saint george,37.1041,-113.5841,95.43,34,0,6.91,US,1660163100
33,esperance,-33.8667,121.9,55.98,74,47,18.86,AU,1660163124
34,cidreira,-30.1811,-50.2056,60.37,68,5,9.26,BR,1660163127
35,sala,34.0389,-6.8166,72.28,73,40,4.61,MA,1660163129
36,carnarvon,-24.8667,113.6333,57.36,55,0,17.25,AU,1660163131
37,acari,-15.4311,-74.6158,72.64,53,4,7.9,PE,1660163133
38,talnakh,69.4865,88.3972,49.21,81,100,6.53,RU,1660163136
39,saint anthony,45.0205,-93.218,86.9,47,75,12.66,US,1660163140
40,lasa,46.6166,10.7002,67.37,86,51,1.68,IT,1660162876
41,mataura,-46.1927,168.8643,34.38,95,75,2.59,NZ,1660163145
42,nha trang,12.25,109.1833,80.6,81,100,5.32,VN,1660163147
43,cabo san lucas,22.8909,-109.9124,94.6,66,40,11.5,MX,1660163129
44,butaritari,3.0707,172.7902,81.1,78,75,17.9,KI,1660163151
45,dabrowa tarnowska,50.1746,20.9863,66.69,50,100,8.12,PL,1660163154
46,adrar,20.5022,-10.0711,101.59,12,16,9.44,MR,1660163156
47,nikolskoye,59.7035,30.7861,58.91,77,29,2.19,RU,1660163158
48,cabedelo,-6.9811,-34.8339,79.47,78,5,11.65,BR,1660163161
49,klaksvik,62.2266,-6.589,52.72,83,2,23.04,FO,1660163163
50,mar del plata,-38.0023,-57.5575,57.22,59,0,11.5,AR,1660163166
51,novovasylivka,46.8315,35.7536,81.72,25,100,10.22,UA,1660163173
52,manono,-7.3,27.4167,76.44,24,53,4.52,CD,1660163175
53,zhezkazgan,47.8043,67.7144,65.86,67,53,8.43,KZ,1660163177
54,arraial do cabo,-22.9661,-42.0278,75.06,78,75,3.44,BR,1660163180
55,hilo,19.7297,-155.09,85.28,78,75,4.61,US,1660163182
56,manaus,-3.1019,-60.025,93.7,52,20,9.22,BR,1660163184
57,poso,-1.3959,120.7524,77.63,81,100,3.04,ID,1660163187
58,thompson,55.7435,-97.8558,72.79,31,14,6.2,CA,1660163189
59,ucluelet,48.9329,-125.5528,60.1,92,99,8.61,CA,1660162896
60,puerto ayora,-0.7393,-90.3518,78.76,86,86,8.01,EC,1660163193
61,dikson,73.5069,80.5464,42.35,91,99,8.34,RU,1660163196
62,lawton,34.6087,-98.3903,100.08,38,40,9.22,US,1660163198
63,vardo,70.3705,31.1107,57.18,94,75,11.5,NO,1660163200
64,katsuura,35.1333,140.3,80.55,91,100,12.97,JP,1660163203
65,east london,-33.0153,27.9116,62.58,76,63,4.72,ZA,1660163205
66,isangel,-19.55,169.2667,68.36,62,0,14.85,VU,1660163207
67,jamestown,42.097,-79.2353,80.53,53,100,10.36,US,1660163125
68,pangnirtung,66.1451,-65.7125,47.08,76,86,2.44,CA,1660163211
69,dhidhdhoo,6.8833,73.1,81.0,87,14,16.31,MV,1660162740
70,flin flon,54.7682,-101.865,69.67,37,0,5.95,CA,1660163216
71,avarua,-21.2078,-159.775,75.25,73,20,13.8,CK,1660163220
72,borogontsy,62.6683,131.1683,55.62,96,99,5.75,RU,1660163223
73,lavrentiya,65.5833,-171.0,50.65,71,100,7.63,RU,1660163225
74,karpathos,35.507,27.2132,75.16,88,0,23.02,GR,1660163228
75,gayny,60.3071,54.3241,55.22,99,41,7.27,RU,1660162821
76,oytal,42.9057,73.2697,67.84,54,1,2.55,KZ,1660163232
